event-id,visible,timestamp,location-long,location-lat,acceleration-raw-x,acceleration-raw-y,acceleration-raw-z,bar:barometric-height,battery-charge-percent,battery-charging-current,external-temperature,gps:hdop,gps:satellite-count,gps-time-to-fix,ground-speed,heading,height-above-msl,import-marked-outlier,gls:light-level,mag:magnetic-field-raw-x,mag:magnetic-field-raw-y,mag:magnetic-field-raw-z,orn:transmission-protocol,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
29977428973,true,2023-08-23 19:23:35.000,-3.519727230072021,49.10484313964844,-25.0,-73.0,1064.0,0.0,82,0.0,21.0,1.6,3,70.92,12.5,347.0,-1.0,false,9.0,-0.086,-0.099,0.148,"GPRS",4039.0,"gps","Morus bassanus","235202","Fou de Bassan Ad 2023 [FRP_CF53116]","Migratlane [ID_PROG 1275]"
29977428974,true,2023-08-23 19:24:47.000,-3.519763946533203,49.10495376586914,-171.0,-546.0,980.0,0.0,79,0.0,21.0,1.6,3,1.0,12.777777777777777,347.0,0.0,false,9.0,-0.073,-0.188,0.135,"GPRS",4025.0,"gps","Morus bassanus","235202","Fou de Bassan Ad 2023 [FRP_CF53116]","Migratlane [ID_PROG 1275]"
29977428975,true,2023-08-23 19:37:45.000,-3.557681083679199,49.18675231933594,-216.0,-171.0,871.0,0.0,81,0.0,21.0,2.6,4,90.02,11.944444444444445,0.0,2.0,false,2.0,-0.087,-0.03,0.124,"GPRS",4033.0,"gps","Morus bassanus","235202","Fou de Bassan Ad 2023 [FRP_CF53116]","Migratlane [ID_PROG 1275]"
29977428976,true,2023-08-23 19:39:03.000,-3.55948543548584,49.19502639770508,-20.0,124.0,638.0,0.0,80,0.0,21.0,1.2,4,77.93,11.11111111111111,347.0,15.0,false,2.0,-0.127,-0.21,0.125,"GPRS",4028.0,"gps","Morus bassanus","235202","Fou de Bassan Ad 2023 [FRP_CF53116]","Migratlane [ID_PROG 1275]"
29977428977,true,2023-08-23 19:39:04.000,-3.559549331665039,49.195133209228516,-46.0,-78.0,1192.0,0.0,77,0.0,21.0,1.2,4,0.99,11.944444444444445,335.0,16.0,false,2.0,-0.083,-0.225,0.147,"GPRS",4014.0,"gps","Morus bassanus","235202","Fou de Bassan Ad 2023 [FRP_CF53116]","Migratlane [ID_PROG 1275]"
29977428978,true,2023-08-23 19:39:05.000,-3.559593200683594,49.19523620605469,-40.0,-10.0,878.0,0.0,78,0.0,21.0,1.2,4,1.0,11.944444444444445,349.0,17.0,false,2.0,-0.101,-0.169,0.142,"GPRS",4019.0,"gps","Morus bassanus","235202","Fou de Bassan Ad 2023 [FRP_CF53116]","Migratlane [ID_PROG 1275]"
29977428979,true,2023-08-23 19:49:51.000,-3.567405700683594,49.21343994140625,-288.0,625.0,456.0,0.0,87,0.0,19.0,1.3,6,47.9,0.2777777777777778,34.0,0.0,false,0.0,-0.443,-0.007,-0.249,"GPRS",4069.0,"gps","Morus bassanus","235202","Fou de Bassan Ad 2023 [FRP_CF53116]","Migratlane [ID_PROG 1275]"
29977428980,true,2023-08-23 19:49:52.000,-3.567393779754639,49.21343231201172,129.0,553.0,941.0,0.0,81,0.0,19.0,1.3,6,0.98,0.0,0.0,3.0,false,0.0,-0.27,-0.333,-0.028,"GPRS",4036.0,"gps","Morus bassanus","235202","Fou de Bassan Ad 2023 [FRP_CF53116]","Migratlane [ID_PROG 1275]"
29977428981,true,2023-08-23 19:49:53.000,-3.567389965057373,49.213436126708984,-43.0,370.0,761.0,0.0,81,0.0,19.0,1.3,6,1.02,0.2777777777777778,78.0,3.0,false,0.0,-0.204,-0.238,0.073,"GPRS",4036.0,"gps","Morus bassanus","235202","Fou de Bassan Ad 2023 [FRP_CF53116]","Migratlane [ID_PROG 1275]"
29977428982,true,2023-08-23 19:49:54.000,-3.567388534545898,49.213436126708984,204.0,213.0,749.0,0.0,81,0.0,19.0,1.3,6,0.98,0.0,0.0,2.0,false,0.0,-0.142,-0.141,0.116,"GPRS",4033.0,"gps","Morus bassanus","235202","Fou de Bassan Ad 2023 [FRP_CF53116]","Migratlane [ID_PROG 1275]"
29977428983,true,2023-08-23 19:49:55.000,-3.567385673522949,49.21343994140625,-219.0,498.0,634.0,0.0,80,0.0,19.0,1.3,6,1.03,0.2777777777777778,118.0,1.0,false,0.0,-0.4,-0.178,-0.125,"GPRS",4030.0,"gps","Morus bassanus","235202","Fou de Bassan Ad 2023 [FRP_CF53116]","Migratlane [ID_PROG 1275]"
29977428984,true,2023-08-23 19:59:59.000,-3.564375162124634,49.213619232177734,-237.0,318.0,848.0,0.0,87,0.0,18.0,1.4,6,5.86,0.5555555555555556,106.0,11.0,false,0.0,-0.261,0.13,-0.03,"GPRS",4072.0,"gps","Morus bassanus","235202","Fou de Bassan Ad 2023 [FRP_CF53116]","Migratlane [ID_PROG 1275]"
29977428985,true,2023-08-23 20:00:00.000,-3.564391613006592,49.21363830566406,-120.0,178.0,590.0,0.0,83,0.0,18.0,1.4,6,1.0,0.5555555555555556,88.0,1.0,false,0.0,-0.275,0.145,-0.054,"GPRS",4047.0,"gps","Morus bassanus","235202","Fou de Bassan Ad 2023 [FRP_CF53116]","Migratlane [ID_PROG 1275]"
29977428986,true,2023-08-23 20:00:01.000,-3.564393758773804,49.21364212036133,-100.0,258.0,992.0,0.0,84,0.0,18.0,1.4,6,0.99,0.0,0.0,-1.0,false,0.0,-0.197,0.087,0.023,"GPRS",4053.0,"gps","Morus bassanus","235202","Fou de Bassan Ad 2023 [FRP_CF53116]","Migratlane [ID_PROG 1275]"
29977428987,true,2023-08-23 20:00:02.000,-3.564389705657959,49.21364212036133,-180.0,309.0,1026.0,0.0,84,0.0,18.0,1.4,6,1.01,0.2777777777777778,77.0,0.0,false,0.0,-0.166,0.157,-0.001,"GPRS",4055.0,"gps","Morus bassanus","235202","Fou de Bassan Ad 2023 [FRP_CF53116]","Migratlane [ID_PROG 1275]"
29977428988,true,2023-08-23 20:00:03.000,-3.564390182495117,49.21364974975586,-156.0,264.0,901.0,0.0,83,0.0,18.0,1.4,6,0.99,0.2777777777777778,78.0,-1.0,false,0.0,-0.186,0.155,-0.011,"GPRS",4047.0,"gps","Morus bassanus","235202","Fou de Bassan Ad 2023 [FRP_CF53116]","Migratlane [ID_PROG 1275]"
29977428989,true,2023-08-23 20:10:07.000,-3.560567378997803,49.21406173706055,-230.0,410.0,1067.0,0.0,88,0.0,18.0,1.4,6,5.88,0.5555555555555556,42.0,10.0,false,0.0,-0.263,0.068,-0.022,"GPRS",4075.0,"gps","Morus bassanus","235202","Fou de Bassan Ad 2023 [FRP_CF53116]","Migratlane [ID_PROG 1275]"
29977428990,true,2023-08-23 20:10:08.000,-3.5605628490448,49.21406555175781,-30.0,190.0,645.0,0.0,84,0.0,18.0,1.4,6,0.99,0.5555555555555556,56.0,8.0,false,0.0,-0.282,0.081,-0.044,"GPRS",4053.0,"gps","Morus bassanus","235202","Fou de Bassan Ad 2023 [FRP_CF53116]","Migratlane [ID_PROG 1275]"
29977428991,true,2023-08-23 20:10:09.000,-3.56055760383606,49.21406555175781,-136.0,350.0,1052.0,0.0,83,0.0,18.0,1.4,6,0.99,0.2777777777777778,0.0,7.0,false,0.0,-0.189,0.097,0.024,"GPRS",4050.0,"gps","Morus bassanus","235202","Fou de Bassan Ad 2023 [FRP_CF53116]","Migratlane [ID_PROG 1275]"
29977428992,true,2023-08-23 20:10:10.000,-3.560548067092896,49.21406173706055,-195.0,241.0,645.0,0.0,85,0.0,18.0,1.4,6,1.01,0.5555555555555556,59.0,8.0,false,0.0,-0.228,0.113,-0.025,"GPRS",4058.0,"gps","Morus bassanus","235202","Fou de Bassan Ad 2023 [FRP_CF53116]","Migratlane [ID_PROG 1275]"
29977428993,true,2023-08-23 20:10:11.000,-3.560546159744263,49.21406173706055,-76.0,238.0,696.0,0.0,84,0.0,18.0,1.4,6,0.98,0.0,0.0,7.0,false,0.0,-0.27,0.081,-0.013,"GPRS",4053.0,"gps","Morus bassanus","235202","Fou de Bassan Ad 2023 [FRP_CF53116]","Migratlane [ID_PROG 1275]"
